Training: 2024-09-20 15:52:20,370-rank_id: 0
Training: 2024-09-20 15:52:38,456-: margin_list              (1.0, 0.5, 0.0)
Training: 2024-09-20 15:52:38,456-: network                  r18
Training: 2024-09-20 15:52:38,456-: resume                   False
Training: 2024-09-20 15:52:38,457-: save_all_states          False
Training: 2024-09-20 15:52:38,457-: output                   ./output
Training: 2024-09-20 15:52:38,457-: embedding_size           512
Training: 2024-09-20 15:52:38,457-: sample_rate              1.0
Training: 2024-09-20 15:52:38,457-: interclass_filtering_threshold0
Training: 2024-09-20 15:52:38,457-: fp16                     True
Training: 2024-09-20 15:52:38,457-: batch_size               128
Training: 2024-09-20 15:52:38,457-: optimizer                sgd
Training: 2024-09-20 15:52:38,457-: lr                       0.008
Training: 2024-09-20 15:52:38,457-: momentum                 0.9
Training: 2024-09-20 15:52:38,457-: weight_decay             0.0005
Training: 2024-09-20 15:52:38,457-: verbose                  2000
Training: 2024-09-20 15:52:38,457-: frequent                 10
Training: 2024-09-20 15:52:38,457-: dali                     False
Training: 2024-09-20 15:52:38,457-: dali_aug                 False
Training: 2024-09-20 15:52:38,457-: gradient_acc             1
Training: 2024-09-20 15:52:38,457-: seed                     2048
Training: 2024-09-20 15:52:38,457-: num_workers              2
Training: 2024-09-20 15:52:38,457-: wandb_key                XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
Training: 2024-09-20 15:52:38,457-: suffix_run_name          None
Training: 2024-09-20 15:52:38,457-: using_wandb              False
Training: 2024-09-20 15:52:38,457-: wandb_entity             entity
Training: 2024-09-20 15:52:38,457-: wandb_project            project
Training: 2024-09-20 15:52:38,457-: wandb_log_all            True
Training: 2024-09-20 15:52:38,457-: save_artifacts           False
Training: 2024-09-20 15:52:38,457-: wandb_resume             False
Training: 2024-09-20 15:52:38,457-: pretrained               ./pretrained/model.pt
Training: 2024-09-20 15:52:38,457-: backbonefrz              True
Training: 2024-09-20 15:52:38,457-: rec                      /home/diwu/ms1m-retinaface-t1
Training: 2024-09-20 15:52:38,457-: num_classes              93431
Training: 2024-09-20 15:52:38,457-: num_image                5179510
Training: 2024-09-20 15:52:38,457-: num_epoch                8
Training: 2024-09-20 15:52:38,457-: warmup_epoch             0
Training: 2024-09-20 15:52:38,457-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2024-09-20 15:52:38,457-: total_batch_size         256
Training: 2024-09-20 15:52:38,457-: warmup_step              0
Training: 2024-09-20 15:52:38,457-: total_step               161856
Training: 2024-09-20 15:53:05,316-Reducer buckets have been rebuilt in this iteration.
Training: 2024-09-20 15:53:06,289-Reducer buckets have been rebuilt in this iteration.
Training: 2024-09-20 15:53:24,269-Speed 261.12 samples/sec   Loss 6.9464   ReconLoss 0.3670  LearningRate 0.007999   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 65536   Required: 56 hours
Training: 2024-09-20 15:53:34,588-Speed 258.01 samples/sec   Loss 6.5272   ReconLoss 0.3297  LearningRate 0.007999   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 32768   Required: 52 hours
Training: 2024-09-20 15:53:44,987-Speed 255.99 samples/sec   Loss 6.2679   ReconLoss 0.3083  LearningRate 0.007998   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 32768   Required: 52 hours
Training: 2024-09-20 15:53:55,601-Speed 250.50 samples/sec   Loss 5.5216   ReconLoss 0.2983  LearningRate 0.007998   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 32768   Required: 50 hours
Training: 2024-09-20 15:54:06,077-Speed 253.90 samples/sec   Loss 7.4104   ReconLoss 0.2757  LearningRate 0.007997   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 32768   Required: 50 hours
Training: 2024-09-20 15:54:16,699-Speed 250.32 samples/sec   Loss 6.6830   ReconLoss 0.2592  LearningRate 0.007997   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 32768   Required: 49 hours
Training: 2024-09-20 15:54:27,228-Speed 252.53 samples/sec   Loss 6.0495   ReconLoss 0.2588  LearningRate 0.007996   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 32768   Required: 49 hours
Training: 2024-09-20 15:54:37,840-Speed 250.48 samples/sec   Loss 7.7335   ReconLoss 0.2434  LearningRate 0.007996   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 32768   Required: 49 hours
Training: 2024-09-20 15:54:48,416-Speed 251.03 samples/sec   Loss 6.8145   ReconLoss 0.2352  LearningRate 0.007995   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 32768   Required: 49 hours
Training: 2024-09-20 15:54:58,908-Speed 253.05 samples/sec   Loss 7.1859   ReconLoss 0.2271  LearningRate 0.007995   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 32768   Required: 49 hours
Training: 2024-09-20 15:55:09,380-Speed 253.31 samples/sec   Loss 6.7116   ReconLoss 0.2214  LearningRate 0.007994   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 32768   Required: 49 hours
Training: 2024-09-20 15:55:19,955-Speed 250.62 samples/sec   Loss 7.1456   ReconLoss 0.2193  LearningRate 0.007994   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 65536   Required: 49 hours
Training: 2024-09-20 15:55:30,414-Speed 253.48 samples/sec   Loss 6.3186   ReconLoss 0.2093  LearningRate 0.007993   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 15:55:40,995-Speed 250.58 samples/sec   Loss 7.3837   ReconLoss 0.2156  LearningRate 0.007993   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 15:55:51,487-Speed 252.57 samples/sec   Loss 5.5715   ReconLoss 0.2099  LearningRate 0.007992   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 15:56:02,062-Speed 250.59 samples/sec   Loss 7.0662   ReconLoss 0.1972  LearningRate 0.007992   Epoch: 0   Global Step: 170   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 15:56:12,649-Speed 250.28 samples/sec   Loss 7.0599   ReconLoss 0.1985  LearningRate 0.007991   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 15:56:23,134-Speed 252.93 samples/sec   Loss 7.3520   ReconLoss 0.1989  LearningRate 0.007991   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 32768   Required: 48 hours
Training: 2024-09-20 15:56:33,724-Speed 250.37 samples/sec   Loss 6.4380   ReconLoss 0.1984  LearningRate 0.007990   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 32768   Required: 48 hours
